1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,-1.0,-2.0,-0.5,1.0,1.0,1.5,0.5,1.0,1.0,1.0,0.5,-0.5,2.0,1.5,0.5,2.0
-1.0,-2.0,-0.5,1.0,1.0,1.5,0.5,1.0,1.0,1.0,0.5,-0.5,2.0,1.5,0.5,2.0,0.5,0.5,0.5,-0.5,-4.0,1.0,0.5,0.25,0.25,1.0,0.5,-0.5,-2.0,2.0,1.0,1.0
0.5,0.5,0.5,-0.5,-4.0,1.0,0.5,0.25,0.25,1.0,0.5,-0.5,-2.0,2.0,1.0,1.0,1.0,-1.0,-2.0,2.0,1.0,1.0,1.0,-0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1.0,-1.0,-2.0,2.0,1.0,1.0,1.0,-0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,-1.0,-0.5,0.5,0.5,0.5,1.0,0.5,-0.5,-0.5,0.5
0.5,0.5,1.0,0.5,0.5,1.0,-1.0,-0.5,0.5,0.5,0.5,1.0,0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,1.5,0.5,1.0,-1.0,1.0,-1.0,-0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,-0.5,0.5,1.5,0.5,1.0,-1.0,1.0,-1.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,2.0,-1.0,-0.5,0.5,2.0,0.5,1.0
0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,2.0,-1.0,-0.5,0.5,2.0,0.5,1.0,0.5,0.5,1.0,0.5,2.0,1.0,0.25,0.25,0.25,0.25,1.0,-0.5,0.5,1.0,1.0,0.25
0.5,0.5,1.0,0.5,2.0,1.0,0.25,0.25,0.25,0.25,1.0,-0.5,0.5,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,1.5,0.5,1.5,0.5,1.0,1.0,0.25,0.25,0.25,0.25,0.5
0.25,0.25,0.25,0.5,0.5,1.5,0.5,1.5,0.5,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,1.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,1.0,0.5
0.5,1.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,1.0,0.5,-0.5,1.0,1.0,2.0,-0.5,0.5,1.5,0.5,1.0,1.0,1.0,2.0,-0.5,0.5,1.5,0.5
-0.5,1.0,1.0,2.0,-0.5,0.5,1.5,0.5,1.0,1.0,1.0,2.0,-0.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,0.5,-0.5,-1.0,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,-0.5,0.5
0.5,0.25,0.25,0.5,-0.5,-1.0,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,-0.5,0.5,-0.5,0.5,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
-0.5,0.5,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,2.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,2.0,4.0,0.75,0.25,0.5,0.25,0.25,2.0,2.0,2.0,2.0,2.0,0.25,0.25,0.25,0.25,0.25
4.0,0.75,0.25,0.5,0.25,0.25,2.0,2.0,2.0,2.0,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5
0.25,0.25,0.25,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,1.0,1.0,1.5,0.5,0.5,0.5,0.5,-0.5,2.0,1.0,0.5
-0.5,0.5,-0.5,0.5,-0.5,1.0,1.0,1.5,0.5,0.5,0.5,0.5,-0.5,2.0,1.0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.25,0.25,0.25,0.25,0.5,-0.5,-1.0
0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.25,0.25,0.25,0.25,0.5,-0.5,-1.0,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.5,-0.5,0.75,0.125,0.125,1.0,-0.5,-0.5
0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.5,-0.5,0.75,0.125,0.125,1.0,-0.5,-0.5,1.0,1.0,2.0,2.0,1.0,-1.0,-4.0,-1.0,1.0,1.0,1.0,2.0,-1.0,-0.5,0.5,1.0
1.0,1.0,2.0,2.0,1.0,-1.0,-4.0,-1.0,1.0,1.0,1.0,2.0,-1.0,-0.5,0.5,1.0,1.0,2.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,2.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5
0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,2.0,0.5,0.5,0.5,0.5,2.0,-2.0,-2.0,2.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,2.0,0.5,0.5,0.5,0.5,2.0,-2.0,-2.0,2.0,0.5,0.5,0.5,0.5,0.5,-0.5,-1.0,-4.0,-4.0,-1.0,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.5,-0.5,-1.0,-4.0,-4.0,-1.0,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,1.0,1.0,0.5
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,-0.5,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.5,1.0,1.0,1.0,0.5,0.5,-0.5,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,1.0,1.0
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.25,0.25,0.5,0.5,-0.5,0.25,0.25,0.5,0.5
0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.25,0.25,0.5,0.5,-0.5,0.25,0.25,0.5,0.5,-0.5,0.25,0.25,0.5,0.5,-0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
-0.5,0.25,0.25,0.5,0.5,-0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.25,0.25,0.25,0.25
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.25,0.25,0.25,0.25,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,-1.0,0.75,0.25,0.75,0.25,0.75
0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,-1.0,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.5,-0.5,0.75,0.125,0.125,1.0,-0.5,-0.5,4.0,0.5,0.5,-1.0,2.0
0.25,0.75,0.25,0.5,-0.5,0.75,0.125,0.125,1.0,-0.5,-0.5,4.0,0.5,0.5,-1.0,2.0,0.5,0.5,-1.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,-1.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.25,0.25
0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.25,0.25,0.25,0.25,0.5,-0.5,-1.0,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.5,-0.5,0.75
0.25,0.25,0.5,-0.5,-1.0,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.5,-0.5,0.75,0.125,0.125,1.0,-1.0,0.5,-0.5,0.75,0.125,0.125,1.0,-1.0,0.5,-0.5,0.75,0.125,0.125
0.125,0.125,1.0,-1.0,0.5,-0.5,0.75,0.125,0.125,1.0,-1.0,0.5,-0.5,0.75,0.125,0.125,1.0,-1.0,0.5,-0.5,0.75,0.125,0.125,1.0,1.0,2.0,0.25,0.25,0.25,0.25,0.25,0.25
1.0,-1.0,0.5,-0.5,0.75,0.125,0.125,1.0,1.0,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0
0.25,0.25,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.5,1.0,1.0,0.5,0.5,0.5,-0.5,2.0,1.5,0.5
1.0,1.0,1.0,1.0,1.0,1.5,0.5,1.0,1.0,0.5,0.5,0.5,-0.5,2.0,1.5,0.5,1.0,1.0,0.5,0.5,0.5,-0.5,-4.0,1.0,0.5,0.25,0.25,1.0,0.5,-0.5,-2.0,2.0
1.0,1.0,0.5,0.5,0.5,-0.5,-4.0,1.0,0.5,0.25,0.25,1.0,0.5,-0.5,-2.0,2.0,1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,-2.0,2.0,1.0,1.0,1.0,-0.5,0.5,1.0,1.0
1.0,1.0,1.0,-1.0,2.0,1.0,-1.0,-2.0,2.0,1.0,1.0,1.0,-0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,-1.0,-0.5,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,-1.0,-0.5,0.5,0.5,0.5,1.0,0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,-1.0
1.0,0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,-1.0,1.0,-1.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,-1.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,2.0
0.5,0.5,1.0,-1.0,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,2.0,-1.0,-0.5,0.5,2.0,0.5,1.0,0.5,0.5,1.0,0.5,2.0,1.0,0.25,0.25,0.25,0.25
-1.0,-0.5,0.5,2.0,0.5,1.0,0.5,0.5,1.0,0.5,2.0,1.0,0.25,0.25,0.25,0.25,1.0,-0.5,0.5,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,1.5,0.5,1.5,0.5,1.0
1.0,-0.5,0.5,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,1.5,0.5,1.5,0.5,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.5,1.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,1.0
1.0,0.25,0.25,0.25,0.25,0.5,0.5,1.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.25,1.0,0.5,-0.5,1.0,1.0,2.0,-0.5,0.5,1.5,0.5,1.0,1.0
0.25,0.25,0.25,0.25,1.0,0.5,-0.5,1.0,1.0,2.0,-0.5,0.5,1.5,0.5,1.0,1.0,1.0,2.0,-0.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,1.0
1.0,2.0,-0.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,0.5,-0.5,-1.0,0.5,0.5,0.5,-0.5
-1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.25,0.5,-0.5,-1.0,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,-0.5,0.5,-0.5,0.5,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.5,0.5,0.5,-0.5,-0.5,0.5,-0.5,0.5,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,2.0,4.0,0.75,0.25,0.5,0.25,0.25,2.0,2.0,2.0,2.0
0.25,0.25,0.25,0.25,0.25,2.0,4.0,0.75,0.25,0.5,0.25,0.25,2.0,2.0,2.0,2.0,2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,-0.5,-1.0,0.25,0.25,0.25,0.25
2.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,-0.5,-1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,-0.5,-1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5
0.25,0.25,0.25,0.25,0.5,-0.5,-1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5
-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,1.0,1.0,1.5,0.5,0.5,0.5,0.5
-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,1.0,1.0,1.5,0.5,0.5,0.5,0.5,-0.5,2.0,1.0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.25,0.25,0.25
-0.5,2.0,1.0,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,0.25,0.25,0.25,0.25,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,-1.0,0.75,0.25,0.75,0.25
0.25,0.5,-0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,-0.5,-1.0,0.75,0.25,0.75,0.25,0.75,0.25,0.75,0.25,0.5,-0.5,0.75,0.125,0.125,1.0,-0.5,-1.0,-1.0,1.0,-1.0,-1.0
0.75,0.25,0.75,0.25,0.5,-0.5,0.75,0.125,0.125,1.0,-0.5,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0
0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5
1.0,1.0,1.0,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,3.0,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,-1.0,-1.0,1.0
3.0,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-3.0,-3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0
-1.0,-1.0,1.0,-3.0,-3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-0.75,0.25,1.0,1.0,-1.0,-1.0,1.0,-0.75,0.25,1.0,1.0,-1.0,-1.0,-0.5,0.5,0.5
-0.75,0.25,1.0,1.0,-1.0,-1.0,1.0,-0.75,0.25,1.0,1.0,-1.0,-1.0,-0.5,0.5,0.5,0.5,0.5,0.5,3.0,0.5,0.5,0.5,0.5,0.5,0.5,3.0,-1.0,-1.0,1.0,-1.0,-1.0
0.5,0.5,0.5,3.0,0.5,0.5,0.5,0.5,0.5,0.5,3.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,2.0,0.5,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5
2.0,0.5,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,2.0
0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,2.0,0.75,0.25,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5
0.75,0.25,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.5
0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
0.5,0.5,0.5,0.5,0.5,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.75,0.125,0.125,1.0,-1.0,0.75,0.125,0.125,1.0,-1.0,1.0,1.0,1.0,-1.0,-3.0,2.0
0.75,0.125,0.125,1.0,-1.0,0.75,0.125,0.125,1.0,-1.0,1.0,1.0,1.0,-1.0,-3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.75,0.125,0.125,1.0,-1.0,0.75,0.125
1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.75,0.125,0.125,1.0,-1.0,0.75,0.125,0.125,1.0,-1.0,1.0,1.0,1.0,-0.75,0.25,1.0,1.0,-1.0,3.0,3.0,3.0,3.0,3.0
0.125,1.0,-1.0,1.0,1.0,1.0,-0.75,0.25,1.0,1.0,-1.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,3.0,1.0,-1.0,-1.0,3.0,1.0,-1.0,-1.0
2.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,3.0,1.0,-1.0,-1.0,3.0,1.0,-1.0,-1.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
-3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.75,0.125,0.125,1.0,-1.0,0.75,0.125,0.125
-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.75,0.125,0.125,1.0,-1.0,0.75,0.125,0.125,1.0,-1.0,1.0,1.0,1.0,-0.75,0.25,1.0,1.0,-1.0,3.0,3.0,3.0,3.0,3.0,3.0
1.0,-1.0,1.0,1.0,1.0,-0.75,0.25,1.0,1.0,-1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,3.0
1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,3.0,1.0,-1.0,-1.0,3.0,1.0,-1.0,-1.0,-1.0,-0.5,1.0,1.0,0.5,-0.5,1.0,1.0,0.5
1.0,-1.0,-1.0,3.0,1.0,-1.0,-1.0,-1.0,-0.5,1.0,1.0,0.5,-0.5,1.0,1.0,0.5,-0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.75,0.125,0.125,0.5,0.5,0.5,0.5
-0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.75,0.125,0.125,0.5,0.5,0.5,0.5,0.75,0.125,0.125,0.5,0.5,0.5,0.5,0.75,0.125,0.125,1.0,-1.0,1.5,0.5,1.0,1.0
0.75,0.125,0.125,0.5,0.5,0.5,0.5,0.75,0.125,0.125,1.0,-1.0,1.5,0.5,1.0,1.0,0.75,0.25,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.75,0.25,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,-0.5,0.5,-0.5,0.5
0.25,0.25,0.25,0.25,0.25,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,-1.0,-0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,3.0,3.0,1.0,0.375,0.125,0.375
-0.5,0.5,-0.5,-1.0,-0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,3.0,3.0,1.0,0.375,0.125,0.375,0.125,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,-0.5,-1.0,0.5,-0.5,0.5,-0.5,-1.0
0.125,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,-0.5,-1.0,0.5,-0.5,0.5,-0.5,-1.0,0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5
0.5,-0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-1.0,0.5,-0.5,1.0,-0.5,0.5,0.5,0.5,0.1667,0.1667
0.5,0.5,0.5,0.5,0.5,-0.5,-1.0,0.5,-0.5,1.0,-0.5,0.5,0.5,0.5,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
